Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.308,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.3087,0.3185,0.3258,0.3185,0.343,0.3258,0.2029
0.3087,0.3185,0.3258,0.3193,0.343,0.3258,0.2029
0.3087,0.3185,0.3258,0.3193,0.343,0.3258,0.2029
