Generation,Best,Mean,Std,Min,Max
354,0.2029,0.1349,0.0144,0.066,0.2029
355,0.2029,0.1349,0.0143,0.0701,0.2029
356,0.2029,0.1349,0.0141,0.0807,0.2029
357,0.2029,0.135,0.0143,0.0807,0.2029
358,0.2029,0.1351,0.0141,0.075,0.2029
359,0.2029,0.1348,0.0143,0.0766,0.2029
360,0.2029,0.1349,0.0141,0.0847,0.2029
361,0.2029,0.1351,0.0143,0.0807,0.2029
362,0.2029,0.1349,0.0144,0.0799,0.2029
363,0.2029,0.1349,0.0143,0.0766,0.2029
364,0.2029,0.1348,0.0143,0.0807,0.2029
365,0.2029,0.1352,0.0142,0.0774,0.2029
366,0.2029,0.1348,0.0143,0.0741,0.2029
367,0.2029,0.1349,0.0141,0.0725,0.2029
368,0.2029,0.135,0.0142,0.0627,0.2029
369,0.2029,0.135,0.0144,0.0774,0.2029
370,0.2029,0.1348,0.0142,0.0701,0.2029
371,0.2029,0.1349,0.0143,0.0701,0.2029
372,0.2029,0.135,0.0142,0.0693,0.2029
373,0.2029,0.1349,0.0144,0.0766,0.2029
374,0.2029,0.1351,0.0143,0.0725,0.2029
375,0.2029,0.1348,0.0143,0.0766,0.2029
376,0.2029,0.1349,0.0144,0.0652,0.2029
377,0.2029,0.135,0.0142,0.0807,0.2029
378,0.2029,0.1352,0.0142,0.0693,0.2029
379,0.2029,0.1347,0.0143,0.0701,0.2029
380,0.2029,0.135,0.0143,0.0766,0.2029
381,0.2029,0.135,0.0142,0.0807,0.2029
382,0.2029,0.1349,0.0142,0.0799,0.2029
383,0.2029,0.1348,0.0143,0.0782,0.2029
384,0.2029,0.1349,0.0143,0.0741,0.2029
385,0.2029,0.135,0.0142,0.0741,0.2029
386,0.2029,0.1349,0.0141,0.0733,0.2029
387,0.2029,0.1349,0.0142,0.0807,0.2029
388,0.2029,0.135,0.0144,0.0733,0.2029
389,0.2029,0.135,0.0142,0.0709,0.2029
390,0.2029,0.135,0.0142,0.0685,0.2029
391,0.2029,0.1349,0.0143,0.0766,0.2029
392,0.2029,0.1352,0.0143,0.0799,0.2029
393,0.2029,0.1348,0.0143,0.0766,0.2029
394,0.2029,0.135,0.0142,0.0766,0.2029
395,0.2029,0.135,0.0143,0.0831,0.2029
396,0.2029,0.135,0.0143,0.0749,0.2029
397,0.2029,0.1353,0.0143,0.0774,0.2029
398,0.2029,0.1349,0.0143,0.0774,0.2029
399,0.2029,0.1349,0.0143,0.0799,0.2029
400,0.2029,0.135,0.0143,0.0774,0.2029
401,0.2029,0.1352,0.0143,0.0807,0.2029
402,0.2029,0.1348,0.0143,0.0701,0.2029
403,0.2029,0.135,0.0142,0.0807,0.2029
404,0.2029,0.135,0.0142,0.0774,0.2029
405,0.2029,0.1348,0.0144,0.0807,0.2029
406,0.2029,0.1349,0.0142,0.0823,0.2029
407,0.2029,0.1352,0.0142,0.0807,0.2029
408,0.2029,0.135,0.0143,0.0741,0.2029
409,0.2029,0.135,0.0144,0.0693,0.2029
410,0.2029,0.1351,0.0142,0.0807,0.2029
411,0.2029,0.1347,0.0143,0.0807,0.2029
412,0.2029,0.1349,0.0143,0.0807,0.2029
413,0.2029,0.1351,0.0143,0.0783,0.2029
414,0.2029,0.1351,0.0142,0.0807,0.2029
415,0.2029,0.135,0.0144,0.0782,0.2029
416,0.2029,0.1352,0.0142,0.0807,0.2029
417,0.2029,0.135,0.0143,0.0774,0.2029
418,0.2029,0.1349,0.0142,0.0766,0.2029
419,0.2029,0.1349,0.0144,0.0807,0.2029
420,0.2029,0.1349,0.0142,0.0807,0.2029
421,0.2029,0.1349,0.0142,0.0807,0.2029
422,0.2029,0.1349,0.0142,0.0733,0.2029
423,0.2029,0.1348,0.0143,0.0733,0.2029
424,0.2029,0.135,0.0144,0.066,0.2029
425,0.2029,0.1348,0.0142,0.0725,0.2029
426,0.2029,0.1348,0.0143,0.0766,0.2029
427,0.2029,0.1349,0.0142,0.0807,0.2029
428,0.2029,0.1349,0.0141,0.0741,0.2029
429,0.2029,0.1348,0.0144,0.0701,0.2029
430,0.2029,0.135,0.0142,0.0774,0.2029
431,0.2029,0.1348,0.0142,0.0799,0.2029
432,0.2029,0.1351,0.0142,0.0807,0.2029
433,0.2029,0.1352,0.0141,0.0774,0.2029
434,0.2029,0.1347,0.0143,0.0741,0.2029
435,0.2029,0.1351,0.0143,0.0774,0.2029
436,0.2029,0.1351,0.0142,0.0766,0.2029
437,0.2029,0.135,0.0144,0.0766,0.2029
438,0.2029,0.1352,0.0143,0.0725,0.2029
439,0.2029,0.1348,0.0143,0.0766,0.2029
440,0.2029,0.1351,0.0142,0.0717,0.2029
441,0.2029,0.1348,0.0143,0.0774,0.2029
442,0.2029,0.1349,0.0144,0.0799,0.2029
443,0.2029,0.135,0.0142,0.0741,0.2029
444,0.2029,0.1351,0.0143,0.0774,0.2029
445,0.2029,0.1347,0.0144,0.0652,0.2029
446,0.2029,0.135,0.0143,0.0766,0.2029
447,0.2029,0.135,0.0143,0.0766,0.2029
448,0.2029,0.135,0.0142,0.0782,0.2029
449,0.2029,0.135,0.0142,0.0807,0.2029
450,0.2029,0.1348,0.0145,0.0807,0.2029
451,0.2029,0.1351,0.0141,0.0774,0.2029
452,0.2029,0.1351,0.0141,0.0766,0.2029
453,0.2029,0.135,0.0143,0.0733,0.2029
454,0.2029,0.1348,0.0143,0.0774,0.2029
455,0.2029,0.1351,0.0142,0.0807,0.2029
456,0.2029,0.1349,0.0142,0.0774,0.2029
457,0.2029,0.1348,0.0143,0.0815,0.2029
458,0.2029,0.1349,0.0143,0.0758,0.2029
459,0.2029,0.135,0.0143,0.066,0.2029
460,0.2029,0.1351,0.0142,0.0815,0.2029
461,0.2029,0.1349,0.0142,0.0758,0.2029
462,0.2029,0.1348,0.0142,0.066,0.2029
463,0.2029,0.1349,0.0144,0.0799,0.2029
464,0.2029,0.1349,0.0142,0.0839,0.2029
465,0.2029,0.1349,0.0144,0.0774,0.2029
466,0.2029,0.1349,0.0143,0.0701,0.2029
467,0.2029,0.1347,0.0142,0.0774,0.2029
468,0.2029,0.1351,0.0143,0.0766,0.2029
469,0.2029,0.1349,0.0143,0.0733,0.2029
470,0.2029,0.1348,0.0143,0.0766,0.2029
471,0.2029,0.1347,0.0142,0.0847,0.2029
472,0.2029,0.1351,0.0143,0.066,0.2029
473,0.2029,0.135,0.0142,0.0791,0.2029
474,0.2029,0.1348,0.0143,0.0766,0.2029
475,0.2029,0.135,0.0143,0.0709,0.2029
476,0.2029,0.1351,0.0141,0.0717,0.2029
477,0.2029,0.1351,0.0142,0.0766,0.2029
478,0.2029,0.1349,0.0143,0.0799,0.2029
479,0.2029,0.1349,0.0142,0.0782,0.2029
480,0.2029,0.135,0.0142,0.0799,0.2029
481,0.2029,0.1349,0.0143,0.0717,0.2029
482,0.2029,0.1349,0.0143,0.0758,0.2029
483,0.2029,0.1349,0.0143,0.0831,0.2029
484,0.2029,0.135,0.0142,0.0741,0.2029
485,0.2029,0.1351,0.0142,0.0815,0.2029
486,0.2029,0.1348,0.0143,0.0774,0.2029
487,0.2029,0.135,0.0143,0.0783,0.2029
488,0.2029,0.135,0.0143,0.0701,0.2029
489,0.2029,0.1351,0.0142,0.0766,0.2029
490,0.2029,0.1349,0.0143,0.0619,0.2029
491,0.2029,0.1351,0.0142,0.0733,0.2029
492,0.2029,0.1351,0.0143,0.0847,0.2029
493,0.2029,0.1351,0.0143,0.0831,0.2029
494,0.2029,0.1349,0.0143,0.0791,0.2029
495,0.2029,0.1349,0.0142,0.0741,0.2029
496,0.2029,0.1349,0.0144,0.0815,0.2029
497,0.2029,0.135,0.0143,0.0839,0.2029
498,0.2029,0.1349,0.0142,0.0766,0.2029
499,0.2029,0.135,0.0142,0.0799,0.2029
500,0.2029,0.1348,0.0142,0.0766,0.2029
501,0.2029,0.135,0.0143,0.0579,0.2029
502,0.2029,0.1349,0.0144,0.0839,0.2029
503,0.2029,0.1349,0.0143,0.066,0.2029
504,0.2029,0.1349,0.0143,0.066,0.2029
505,0.2029,0.1349,0.0144,0.0799,0.2029
506,0.2029,0.1348,0.0143,0.0766,0.2029
507,0.2029,0.1348,0.0142,0.0701,0.2029
508,0.2029,0.1349,0.0143,0.0799,0.2029
509,0.2029,0.135,0.0143,0.0774,0.2029
510,0.2029,0.1348,0.0142,0.0741,0.2029
511,0.2029,0.1348,0.0143,0.0693,0.2029
512,0.2029,0.1349,0.0144,0.0758,0.2029
513,0.2029,0.1347,0.0143,0.0799,0.2029
514,0.2029,0.1349,0.0143,0.0725,0.2029
515,0.2029,0.1349,0.0143,0.0709,0.2029
516,0.2029,0.1347,0.0142,0.0766,0.2029
517,0.2029,0.1349,0.0143,0.0758,0.2029
518,0.2029,0.1351,0.0142,0.0799,0.2029
519,0.2029,0.1349,0.0143,0.0733,0.2029
520,0.2029,0.1349,0.0141,0.0741,0.2029
521,0.2029,0.1351,0.0143,0.0733,0.2029
522,0.2029,0.135,0.0143,0.0774,0.2029
523,0.2029,0.135,0.0142,0.0855,0.2029
524,0.2029,0.135,0.0142,0.0839,0.2029
